Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-17,The Crucible,1996,https://boxd.it/9qOkY7,2,,,2025-04-16
2025-04-27,Back to the Future,1985,https://boxd.it/9wCwdR,5,Yes,,2025-04-26
2025-04-28,Back to the Future Part II,1989,https://boxd.it/9xlMK3,4,,,2025-04-27
2025-04-28,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/9xP7GT,5,Yes,,2025-04-28
2025-04-28,Just Go with It,2011,https://boxd.it/9xUQj1,5,Yes,,2025-04-28
2025-04-29,Back to the Future Part III,1990,https://boxd.it/9xX15j,3.5,,,2025-04-28
2025-04-29,Pixels,2015,https://boxd.it/9xZd4V,2.5,Yes,,2025-04-28
2025-05-01,Parthenope,2024,https://boxd.it/9yWVVx,3,,,2025-04-30
2025-05-01,My Fault: London,2025,https://boxd.it/9yXTrH,0.5,,,2025-04-30
2025-05-02,Ophelia,2018,https://boxd.it/9zvmDD,4,,,2025-05-02
2025-06-22,"Everything, Everything",2017,https://boxd.it/a5cEwl,1.5,,,2025-06-07
2025-06-22,When Harry Met Sally...,1989,https://boxd.it/a5celh,4.5,Yes,,2025-06-21
2025-06-29,La La Land,2016,https://boxd.it/a9QwMB,5,Yes,,2025-06-27
2025-07-07,Before Sunset,2004,https://boxd.it/aeKn8l,5,,,2025-07-06
2025-07-08,Chungking Express,1994,https://boxd.it/afyTgL,5,,,2025-07-07
2025-07-10,Cinema Paradiso,1988,https://boxd.it/agVcSd,4,,,2025-07-09
2025-07-11,Jean de Florette,1986,https://boxd.it/ahEBfZ,4,,,2025-07-10
2025-07-13,Bringing Up Baby,1938,https://boxd.it/aj2JxJ,4,,,2025-07-12
2025-09-14,Hairspray,2007,https://boxd.it/b3w4jZ,4,Yes,,2025-07-12
2025-07-14,Fallen Angels,1995,https://boxd.it/ajY9D3,5,,,2025-07-14
2025-07-16,Superman,2025,https://boxd.it/am3l6X,3.5,,,2025-07-16
2025-07-17,In the Mood for Love,2000,https://boxd.it/amcf6F,4.5,,,2025-07-16
2025-07-23,F1,2025,https://boxd.it/aqXbMd,3,,,2025-07-22
2025-08-05,The Fantastic 4: First Steps,2025,https://boxd.it/aCkPSZ,1,,,2025-08-05
2025-08-07,How to Train Your Dragon,2025,https://boxd.it/aDd4dl,4,,,2025-08-07
2025-08-14,F1,2025,https://boxd.it/aJ6LtV,3,Yes,,2025-08-14
2025-08-19,Pride & Prejudice,2005,https://boxd.it/aMr99n,4,Yes,,2025-08-19
2025-08-19,Grave of the Fireflies,1988,https://boxd.it/aMraW1,4,,,2025-08-19
2025-08-22,"Girl, Interrupted",1999,https://boxd.it/aOo7rB,3,,,2025-08-21
2025-08-26,Punch-Drunk Love,2002,https://boxd.it/aRj50P,4,,,2025-08-25
2025-08-26,(500) Days of Summer,2009,https://boxd.it/aRHaZL,3.5,Yes,,2025-08-26
2025-08-29,Silver Linings Playbook,2012,https://boxd.it/aTASe9,3,,,2025-08-27
2025-09-02,The Naked Gun,2025,https://boxd.it/aWa16V,2.5,,,2025-09-01
2025-09-05,Before Sunrise,1995,https://boxd.it/aY1LbR,5,Yes,,2025-09-04
2025-09-05,The Phoenician Scheme,2025,https://boxd.it/aYuQ8V,2,,,2025-09-05
2025-09-07,Leaving Las Vegas,1995,https://boxd.it/aZiCzN,3,,,2025-09-07
2025-09-07,The Ritual,2017,https://boxd.it/aZX05n,2,,,2025-09-07
2025-09-09,Little Miss Sunshine,2006,https://boxd.it/b19zvj,3,,,2025-09-08
2025-09-10,To All the Boys I've Loved Before,2018,https://boxd.it/b1mUD5,1.5,,,2025-09-09
2025-09-13,Set It Up,2018,https://boxd.it/b3rw8F,4,Yes,,2025-09-11
2025-09-14,Escape Room,2019,https://boxd.it/b3yALP,2.5,,,2025-09-13
2025-09-14,Cars,2006,https://boxd.it/b3BUOZ,4,,,2025-09-13
2025-09-15,Escape Room: Tournament of Champions,2021,https://boxd.it/b4PmqV,3,Yes,,2025-09-15
2025-09-17,The Wrong Paris,2025,https://boxd.it/b61xWB,1,,,2025-09-17
2025-09-21,The Prestige,2006,https://boxd.it/b7IHwt,3.5,,,2025-09-20
2025-09-23,The Conjuring: Last Rites,2025,https://boxd.it/b9FXpZ,3,,,2025-09-23
2025-09-26,One Battle After Another,2025,https://boxd.it/baJFZn,1,,,2025-09-25
2025-10-21,Twilight,2008,https://boxd.it/brcPdl,4,Yes,,2025-10-14
2025-10-21,The Twilight Saga: New Moon,2009,https://boxd.it/brcQCh,1.5,Yes,,2025-10-15
2025-10-21,The Twilight Saga: Eclipse,2010,https://boxd.it/brcRlL,2.5,Yes,,2025-10-16
2025-10-21,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/brcRIb,1.5,Yes,,2025-10-18
2025-10-21,The Twilight Saga: Breaking Dawn – Part 2,2012,https://boxd.it/brcScP,1.5,Yes,,2025-10-19
2025-10-21,10 Things I Hate About You,1999,https://boxd.it/brcT2h,4,Yes,,2025-10-21
2025-10-26,28 Years Later,2025,https://boxd.it/buaPHN,2,,,2025-10-25
2025-11-05,Ocean's Eight,2018,https://boxd.it/bBupGx,4,Yes,,2025-11-02
2025-11-05,He's Just Not That Into You,2009,https://boxd.it/bBuncb,4.5,Yes,,2025-11-03
2025-11-05,Crazy Rich Asians,2018,https://boxd.it/bBuo4d,5,Yes,,2025-11-04
2025-11-24,Frankenstein,2025,https://boxd.it/bOAsM3,3,,,2025-11-23
2025-12-01,Materialists,2025,https://boxd.it/bTvySB,2,,,2025-11-30
